Fecha;codLinea;codAseguradora;primaAcumulada;primaMensual
2011-04-01 00:00:00.000;4;1;71.759.154;10.621.166
2011-04-01 00:00:00.000;13;8;199.552;199.552
2011-04-01 00:00:00.000;10;3;1.352.453;249.067
2011-04-01 00:00:00.000;8;8;7.853.382;1.106.077
2011-04-01 00:00:00.000;17;3;445.412;203.102
2011-04-01 00:00:00.000;17;1;23.545.819;1.180.626
2011-04-01 00:00:00.000;3;1;6.536.096;-7.362.817
2011-04-01 00:00:00.000;13;3;84.352;84.558
2011-04-01 00:00:00.000;13;1;915.011;211.373
2011-04-01 00:00:00.000;11;1;15.022.824;7.367.289
2011-04-01 00:00:00.000;11;8;1.228.315;193.823
2011-04-01 00:00:00.000;12;3;13.515.141;6.952.508
2011-04-01 00:00:00.000;12;1;39.195.345;7.775.148
2011-04-01 00:00:00.000;8;3;3.225.918;504.726
2011-04-01 00:00:00.000;8;1;179.724.453;50.208.783
2011-04-01 00:00:00.000;19;1;202.068.364;69.133.795
2011-04-01 00:00:00.000;16;1;2.888.962;600.390.000.000.004
2011-04-01 00:00:00.000;9;1;21.457.277;4.926.325
2011-04-01 00:00:00.000;5;1;5.601.669;2.773.059
2011-04-01 00:00:00.000;6;1;435.962;6.413
2011-04-01 00:00:00.000;11;3;2.026.144;71.617
2011-04-01 00:00:00.000;4;4;2.001.977;542.345
2011-04-01 00:00:00.000;19;11;2.137.727;1.164.545
2011-04-01 00:00:00.000;19;4;3.193.698;909.393
2011-04-01 00:00:00.000;19;7;304.737;634.205
2011-04-01 00:00:00.000;18;1;934.397;101.377
2011-04-01 00:00:00.000;18;3;250.751;22.241
2011-05-01 00:00:00.000;2;1;463.217.856;86.985.886
2011-05-01 00:00:00.000;10;1;412.312.316;87.705.524
2011-05-01 00:00:00.000;10;8;9.614.183;2.410.018
2011-05-01 00:00:00.000;4;11;10.314.321;262.927.999.999.999
2011-05-01 00:00:00.000;4;7;20.288.987;3.014.288
2011-05-01 00:00:00.000;4;1;83.695.265;11.936.111
2011-05-01 00:00:00.000;13;8;199.552;0
2011-05-01 00:00:00.000;10;3;1.745.593;39.314
2011-05-01 00:00:00.000;8;8;7.853.382;0
2011-05-01 00:00:00.000;17;3;453.745;0.833299999999994
2011-05-01 00:00:00.000;17;1;27.368.821;3.823.002
2011-05-01 00:00:00.000;3;1;5.255.257;-1.280.839
2011-05-01 00:00:00.000;13;3;87.225;0.2873
2011-05-01 00:00:00.000;13;1;1.343.918;428.907
2011-05-01 00:00:00.000;11;1;24.199.778;9.176.954
2011-05-01 00:00:00.000;11;8;1.228.315;0
2011-05-01 00:00:00.000;12;3;18.192.012;4.676.871
2011-05-01 00:00:00.000;12;1;52.958.449;13.763.104
